#
# An example of a file for P-V data only
#
# Note: lines with a # are comments, and will be ignored by the program
#
Title PV_Quartz

# The format line must be the last line preceeding the data
#
# The first number is the number of lines in the file for each datum. In this case, 1.
# The other names tell the program the order of the data items. data items
# can be in any order.
#

format 1 P V SigP SigV

# P       V      SigmaP   SigmaV       This is just a comment line. It is not needed!
0.000  112.981   1.000E-6 0.002
0.430  111.725   0.008    0.014
0.794  110.711   0.008    0.006
1.651  108.597   0.007    0.007
1.845  108.150   0.007    0.019
1.934  107.974   0.007    0.008
2.629  106.467   0.012    0.008
3.300  105.141   0.007    0.009
3.480  104.831   0.012    0.012
3.780  104.285   0.012    0.010
4.026  103.810   0.009    0.013
4.554  102.939   0.009    0.007
4.819  102.534   0.012    0.012
5.214  101.933   0.010    0.010
5.416  101.592   0.009    0.008
5.737  101.143   0.008    0.011
6.478  100.051   0.012    0.015
6.751   99.677   0.010    0.009
7.192   99.064   0.014    0.012
7.899   98.204   0.009    0.014
8.449   97.545   0.012    0.016
8.905   96.989   0.009    0.017
